sentence,topic
spent unbeknownst hour playing nothing positive thing say fact many freetoplay game require pay order progress isnt true ive learned beginning hoursuponhours spend single penny wasnt nearing hour realized much enjoyed thought investing platinum help make alreadypleasant experience evolved alot small amount time ive played player purchase developer added new map new mod killer melee battling system outstanding unique mission mode add spontaneity imagine mix ninja gaiden call duty vanquish personal experience worth checking youre college student strapped spending money new game coming give shot im sure come find least thing make fun great unique experience lenny,0
great reason dont life go school itherwise id constantly,1
good youre new ask friend help go experienced player isnt pay win pay skip content youre done everything get stale writing current meta big explosion dont surprised cant see due flashing light public squad,0
dont know like grind achievement repetitiveness im mind tried spite friend ditching im glad cant write much lotus need see tenno,0
confuse new player recommend inviting friend meant played becomes boring,-1
isnt good representation astronaut cant go moon,3
freaking space ninja,3
decent like constant grind get little repetitive,0
steam ladder worldwide mommy hour mommy bring beer dad cant great try playing spending money,0
best free game get boring experience everything thing left weapon grinding get higher rank pay last pay faster reach end end max weapon thats end boring,-1
dont deserve made free peasant rise mud get industry promising day vain,-1
ruined life reccomended,1
going try review anymore dont youll know quick guarantee youll kill time average aaa campaign hate youll drop ton hour adore best thing graphic good optimized great world building universe hack slash combat excellent gunplay lot lot lot weapon variety character warframes best free model seen trade ingame item premium currency item available normal mission cosmetic bought premium currency prepared grind,0
please dont,1
good bad,2
product received free bad,5
bad played bit thats,-1
good lot potential devs big issue good content h done look hard content wrong everything get easy trivialized point time isnt valued,0
cool get bored endless grind,0
u friend play graphic oh yeaaaaaah control oh yeaaaaaah yeaaaah mission trash,-1
say excellent way u enjoy scifi action u time waste perfect u played ive realised repetitive masterpiece u spend hour trying new equipment find stronger one coming cause u want spend hour farming get u got nothing enjoy scifi action recommend admit good,-1
type isnt fps scifi need game bit slower measured high fantasy good magic system reason click parkour amazing number warframes class crazy synergy ability check wiki ridiculous theyre much void anyway hard convince friend give try new player experience doesnt justice way hook start get hurdle amazing ton content,0
make modern aaatitles look bad there graphic decent general great microtransaction system isnt b,0
suffer,2
product received free frustrating time rewarding playing friend,5
ball hurt,2
product received free free game isnt pay win slog terrible beginning content get amazing updated time best community believe enjoyable solo course way friend edit think good core past update lackluster disappointed point wanting step month wait interesting content added clarify think time ive grown due mixture disappointing new content overall burnout,-1
consume everything day addiction keep trapped strict diet stupidity tenacity stubbornness keep waking moment consumed void community great welcoming new player rare bunch gone,0
dont pay attention happens say run even computer lower spec run smooth wise fun played little repetetive buddy thousand hour say change guess trash need get good,0
addictive heck ruining life im okay,6
time want get death threat,1
tried thisit mistake goodbye free time,1
wont regreat time spend p award,1
u u walking meme,-1
life gone,1
ive wasted many hour im going waste many,-1
grindy decent dont enjoy,0
remember found right easter everybody knew getting bored multi playing skyrim found night tooling steam looking something replace replacement found gave pve grindycollection looking mission paced loose track time make game seem lacking digital extreme update patch different started playing way april im going sit tell perfect everything con hotfixes patch break something player report de fix good clearing thing hey beta keep blabbering good repititious ill leave like pve person coop extreme character agility ability power grindy crafting system make multitude unique weapon interchangeable mod like,0
played main negative thing grinding payplay paytocutcorners speed rank system get obstacle entertaining,0
